Prob = 0.1	 Time = 0.2
0	0:00:00.431942
0	0:00:00.290435
0	0:00:00.232025
1	0:00:00.308370
0	0:00:00.225028
0	0:00:00.259243
0	0:00:00.260963
0	0:00:00.260399
0	0:00:00.256772
1	0:00:00.360793
0	0:00:00.281654
0	0:00:00.275103
0	0:00:00.285259
1	0:00:00.347468
0	0:00:00.248282
0	0:00:00.231378
0	0:00:00.225521
0	0:00:00.255054
0	0:00:00.252062
0	0:00:00.244449
0	0:00:00.241737
0	0:00:00.248201
0	0:00:00.251965
0	0:00:00.268695
0	0:00:00.242770
1	0:00:00.381332
0	0:00:00.620842
0	0:00:00.256003
0	0:00:00.260215
0	0:00:00.264449
0	0:00:00.270712
1	0:00:00.327400
0	0:00:00.243775
0	0:00:00.244392
0	0:00:00.171213
0	0:00:00.219264
0	0:00:00.174478
1	0:00:00.393379
0	0:00:00.162591
0	0:00:00.175847
0	0:00:00.205810
0	0:00:00.191905
0	0:00:00.249842
0	0:00:00.171696
0	0:00:00.189645
0	0:00:00.182572
0	0:00:00.162057
0	0:00:00.162632
0	0:00:00.156840
0	0:00:00.149274
0	0:00:00.158967
0	0:00:00.134322
0	0:00:00.138955
0	0:00:00.124211
0	0:00:00.127611
1	0:00:00.363916
0	0:00:00.091066
0	0:00:00.189940
0	0:00:00.153514
1	0:00:00.407169
0	0:00:00.140315
0	0:00:00.206531
0	0:00:00.179104
1	0:00:00.378354
0	0:00:00.171527
0	0:00:00.205432
0	0:00:00.187731
0	0:00:00.199517
1	0:00:00.374485
0	0:00:00.130615
0	0:00:00.150421
0	0:00:00.153305
1	0:00:00.360316
0	0:00:00.205489
0	0:00:00.152850
0	0:00:00.218720
0	0:00:00.187674
0	0:00:00.228720
0	0:00:00.191553
0	0:00:00.222951
0	0:00:00.263828
0	0:00:00.135639
0	0:00:00.133102
1	0:00:00.392461
0	0:00:00.167166
0	0:00:00.212124
0	0:00:00.228862
0	0:00:00.197177
0	0:00:00.250112
0	0:00:00.200009
0	0:00:00.139507
0	0:00:00.199359
0	0:00:00.241105
0	0:00:00.170891
0	0:00:00.208174
0	0:00:00.406229
0	0:00:00.143631
1	0:00:00.413231
0	0:00:00.127550
0	0:00:00.186188
0	0:00:00.161023
0	0:00:00.201929
0	0:00:00.168754
0	0:00:00.183288
0	0:00:00.173243
1	0:00:00.431500
0	0:00:00.168152
0	0:00:00.200653
0	0:00:00.157994
0	0:00:00.181044
0	0:00:00.134092
0	0:00:00.187419
0	0:00:00.192736
0	0:00:00.175764
0	0:00:00.201762
0	0:00:00.280173
0	0:00:00.129445
0	0:00:00.134210
0	0:00:00.115346
0	0:00:00.130404
0	0:00:00.197832
0	0:00:00.160824
1	0:00:00.381359
1	0:00:00.464604
0	0:00:00.276230
0	0:00:00.176869
0	0:00:00.175984
0	0:00:00.180183
0	0:00:00.213597
0	0:00:00.191258
0	0:00:00.157594
0	0:00:00.186335
0	0:00:00.168858
0	0:00:00.206403
0	0:00:00.206271
0	0:00:00.166271
0	0:00:00.167725
0	0:00:00.125688
0	0:00:00.115137
0	0:00:00.179248
0	0:00:00.139881
0	0:00:00.162187
0	0:00:00.149680
1	0:00:00.452876
0	0:00:00.155092
0	0:00:00.196413
1	0:00:00.468047
0	0:00:00.182934
0	0:00:00.213549
0	0:00:00.203585
